Review,Rating,Review_clean,sentiment
Fits the Dad bod well,4,fit dad bod,0.3612
Lower Quality but Not Bad,4,low quality bad,-0.6808
"Runs small, but cute",4,run small cute,0.4588
Not for large chests,3,large chest,0.0
"White is a dull shade, not bright white",2,white dull shade bright white,0.0516
Weird Material,2,weird material,-0.1779
Just another pair of pants,3,pair pant,0.0
Fantastic pajamas,5,fantastic pajama,0.5574
Great quality; on the warmer side,4,great quality warm,0.7184
Have gotten multiple compliments,4,get multiple compliment,0.4767
Love this sweater but...,4,love sweater,0.6369
Not the quality I was expecting,2,quality expect,0.0
"Gorgeous and airy, but large!",3,gorgeous airy large,0.6124
Material is very thin,3,material thin,0.0
Cheap Material,2,cheap material,0.0
Was not what I expected,3,expect,0.0
Black jacket,4,black jacket,0.0
Tried to like it,3,try like,0.3612
Detail ripped,3,detail rip,0.0
Much bigger than I planned.,3,big plan,0.0
Too much extra material.,3,extra material,0.0
Good white tank,4,good white tank,0.4404
These stretch out horribly,2,stretch horribly,-0.5267
"Fits,pretty, flattering",5,fitspretty flattering,0.3182
Hmmm,3,hmmm,0.0
Does not dry well. there are a lot of wrinkles,3,dry lot wrinkle,0.0
Horrid smell on jeans,1,horrid smell jean,-0.5423
Absolute Garbage!  Poor Fit & Poor Quality,1,absolute garbage   poor fit   poor quality,-0.5719
Only One Porblem,4,porblem,0.0
Cute but nothing special,3,cute special,0.6908
Not worth the price. On the left sleeve the knit was unraveled  making it no good!,1,worth price left sleeve knit unravel   make good,0.5859
Best fitting jeans,5,good fitting jean,0.4404
Perf for casual outing,4,perf casual outing,0.2023
Comfortable but boxy shape,4,comfortable boxy shape,0.5106
Not sure this are Original,3,sure original,0.5574
Not the quality I was expecting,2,quality expect,0.0
Might be my new favorite shirt this fall!,4,new favorite shirt fall,0.4588
So wanted to love this but...,2,want love,0.6705
Soft grunge,4,soft grunge,0.0
Amazingly wonderful jacket,5,amazingly wonderful jacket,0.6115
Muy bueno como todos los productos Hannes,4,muy bueno como todos los productos hanne,0.0
Great shirt at a great value,5,great shirt great value,0.891
Much baggier than described.,3,baggy describe,0.0
Fun to Wear,4,fun wear,0.5106
Product review,4,product review,0.0
Burlap maternity dress?,1,burlap maternity dress,0.0
I like the pants,5,like pant,0.3612
"I do not like how this item fits, I am a medium, but this item looks like a large on me,",3,like item fit medium item look like large,0.7579
Waaaay too small,3,waaaay small,0.0
Adorable but runs small in the bust :(,4,adorable run small bust,0.4939
This is definitely a winter cardigan,3,definitely winter cardigan,0.4019
HARD TO GET WRINKLES OUT,1,hard wrinkle,-0.1027
Pretty & effortless,4,pretty   effortless,0.4939
Lightweight for comfort,5,lightweight comfort,0.3612
A Bit Short,3,bit short,0.0
It’s nice just a long,5,nice long,0.4215
True Fit,4,true fit,0.6486
"Huge, size down!",4,huge size,0.3182
"Decent quality, runs small",3,decent quality run small,0.0
Colorful maxi,4,colorful maxi,0.0
What's with the pockets?,3,s pocket,0.0
Most comfortable fit ever,5,comfortable fit,0.7003
A tapered jean with a 29 inseam!!! Awesome!,5,tapered jean 29 inseam awesome,0.6249
Fun breeze,4,fun breeze,0.5106
Size & expense were good. Bustline is a bit awkward & the white became ivory.,2,size   expense good bustline bit awkward   white ivory,0.3182
Adorable comfy jacket,5,adorable comfy jacket,0.4939
Very Cool,5,cool,0.3182
"Great dress, good quality",4,great dress good quality,0.7906
"Nice, soft, cozy... sheds!",4,nice soft cozy shed,0.4215
Floral & fab!,5,floral   fab,0.4588
Cute but short!,3,cute short,0.4588
Came with no tags. I think it was used.,2,come tag think,0.0
"Good quality , low price .",4,good quality   low price,0.2023
I have long arms and it fits perfectly! I ordered a XL bc I have DD’s,5,long arm fit perfectly order xl bc dd,0.7717
I ordered pocket t !!! NO pocket!!,1,order pocket t   pocket,0.0
Perfect for indoor ice arenas,5,perfect indoor ice arena,0.5719
DIDN'T FIT RIGHT,3,not fit right,-0.2755
Ask for 32×29 way to small all my other pant are 32×29 and fit great.not sure why they want fit.,2,ask 3229 way small pant 3229 fit greatnot sure want fit,0.765
Good for moderate weather and cozy,4,good moderate weather cozy,0.4404
Very light and comfy but runs large!,4,light comfy run large,0.0
Cutesy,4,cutesy,0.4767
Worth a look,4,worth look,0.2263
Just hangs there,3,hang,0.0
The sizes aren’t consistent,1,size not consistent,0.0
Low in the back.,4,low,-0.2732
Beatiful and great quality for the price,5,beatiful great quality price,0.6249
Tie a knot in the drawstring or you will lose it,4,tie knot drawstring lose,-0.4019
"Mostly good, a couple drawbacks",3,good couple drawback,0.4404
I had great luck with the Daily Ritural Brand!,5,great luck daily ritural brand,0.7964
Nice but short,3,nice short,0.4215
This dress has nice fit,3,dress nice fit,0.6486
Not your normal white shirt!,4,normal white shirt,0.0
Found the same dress at Walmart for half the price.,1,find dress walmart half price,0.0
Perfect for long-torsos,5,perfect longtorso,0.5719
Gorgeous and versatile,4,gorgeous versatile,0.6124
This top had a hole in it.,1,hole,0.0
Armholes are huge,3,armhole huge,0.3182
Going back,3,go,0.0
"Beautiful dress, flawed design",3,beautiful dress flawed design,0.2023
"Beautiful dress, not right for everyone",3,beautiful dress right,0.5994
It’s so cozy  but the pilling makes it almost unwearable after send or third time :(,1,cozy   pilling make unwearable send time,0.0
THESE SEEMED REALLY BIG ON ME...☺,4,big,0.0
Not a good fot,1,good fot,0.4404
Yikes these run small!,2,yike run small,0.0
Knock-off?,2,knockoff,0.0
"So pretty, but so sheer",4,pretty sheer,0.4939
April fools?,1,april fool,-0.4404
Turquoise dream,5,turquoise dream,0.25
Even more beautiful in person!,5,beautiful person,0.5994
Thin Thin Material - more like a blouse,1,thin thin material   like blouse,0.3612
Not for petites : (,4,petite  ,0.0
I love it!! Fits perfect.,5,love fit perfect,0.886
Runs tight across the hips.,4,run tight hip,0.0
Too short in length and boxy for me,4,short length boxy,0.0
Worn them twice,3,wear twice,0.0
Not at all as it looks online,2,look online,0.0
"Beautiful top, but ill filtting",2,beautiful ill filtting,0.2732
"Weird dimensions, not normal.",1,weird dimension normal,-0.1779
Clingy material,3,clingy material,0.0
Cozy sweater in a boxy style,3,cozy sweater boxy style,0.0
Good shirt!,4,good shirt,0.4404
"Good idea, but...",3,good idea,0.4404
Exactly as expected!,5,exactly expect,0.0
Too busy,3,busy,0.0
They were fine,4,fine,0.2023
"Thin, but so very adorable.",5,thin adorable,0.4939
Light and versatile,4,light versatile,0.0
Great drape,5,great drape,0.6249
Runs very small on top.,4,run small,0.0
fabric isn't elastic,4,fabric not elastic,0.0
Size up if busty,4,size busty,0.0
The most comfortable jeans I've ever wore!,5,comfortable jean ve wear,0.5106
Cozy chunky sweater,4,cozy chunky sweater,0.0
Comfy but not as thick as I’d like,3,comfy thick d like,0.3612
Grass green,4,grass green,0.0
Oh so sheer,1,oh sheer,0.0
Its okay,3,okay,0.2263
"Like it, comfy, nice but dind't keep",4,like comfy nice dindt,0.6486
Chaqueta,5,chaqueta,0.0
Small boobies only,3,small booby,0.0
I expected them to be big and they fit better then i thought. Plus this brand can be tight.,4,expect big fit well think plus brand tight,0.5574
Made very small,3,small,0.0
Great material! super soft and good quality!,5,great material super soft good quality,0.8979
Excelente producto y servicio.,5,excelente producto y servicio,0.0
Weird waistline. 3”above belly button but not high enough to be empire waist.,3,weird waistline 3above belly button high empire waist,-0.1779
Made small,4,small,0.0
Calls for a 30 length end up being 34 length. But the label says 30. These are not genuine Dickies,1,call 30 length end 34 length label say 30 genuine dickie,0.0
This is polyester...,1,polyester,0.0
Perfect light jacket,5,perfect light jacket,0.5719
"White is a dull shade, not bright white",2,white dull shade bright white,0.0516
Very comfortable but not thick fabric,4,comfortable thick fabric,0.5106
Slim fit questionable,4,slim fit questionable,0.0772
Not what you expect,1,expect,0.0
"Very disappointed that this didn't fit me how i'd like, they're so comfortable!",4,disappointed not fit d like comfortable,-0.4624
Great fit and stretch,5,great fit stretch,0.765
True to picture,4,true picture,0.4215
Pretty good!,4,pretty good,0.7269
Awkward hem,3,awkward hem,-0.1531
variation in shipping,3,variation shipping,0.0
Fun bottom,5,fun,0.5106
Has mohair,4,mohair,0.0
"Simple, stylish, lovely-runs a bit big",4,simple stylish lovelyrun bit big,0.0
"Didn't work for me, but it is beautiful",4,not work beautiful,-0.4847
Sooo comfy and cute! (Long though!),5,sooo comfy cute long,0.4588
Lovely but runs large,4,lovely run large,0.5859
Good fit and nice weight,4,good fit nice weight,0.802
Agree with others; not for long torsos,4,agree long torso,0.3612
Wow this sweater is amazing.,5,wow sweater amazing,0.8225
Great Quality T just runs small,3,great quality t run small,0.6249
Christmas present,4,christmas present,0.0
Giant!,4,giant,0.0
"Bought by accident, wanted tagless",2,buy accident want tagless,-0.4215
Leisure wear,3,leisure wear,0.0
Amazing sweatercoat!,4,amazing sweatercoat,0.5859
"Great jacket, except for the zipper",3,great jacket zipper,0.6249
Easy wrinkle free,4,easy wrinkle free,0.7351
"crotch rips out, seems to be a regular thing now",1,crotch rips regular thing,0.0
Tiny pant!,4,tiny pant,0.0
Update: Maybe Okay for Petites?,3,update maybe okay petite,0.2263
Adorable fit,4,adorable fit,0.6908
Good fall/winter top for warmer climates,4,good fallwinter warm climate,0.5859
Great as a nightgown,4,great nightgown,0.6249
Weird Material,2,weird material,-0.1779
I was surprised how Very thin the material,3,surprised thin material,0.2263
Very warm but runs small,4,warm run small,0.2263
Very happy with this purchase,5,happy purchase,0.5719
Tis a bit tight,4,tis bit tight,0.0
Super cute pj’s,5,super cute pjs,0.7845
Bold!,4,bold,0.3818
Perfect versatile summer tank,5,perfect versatile summer tank,0.5719
CUIDADO CON LA TALLA,2,cuidado con la talla,0.0
Adorable everyday look!,4,adorable everyday look,0.4939
Love but fabric easily pulled,4,love fabric easily pull,0.765
Recommended for certain body types,3,recommend certain body type,0.5574
Good Shirts To Workout With,5,good shirt workout,0.4404
Thicker fabric than expected,3,thick fabric expect,0.0
Very high-rise,2,highrise,0.0
Shirt is soft and comfortable.,4,shirt soft comfortable,0.5106
Super Nice and Comfortable!,5,super nice comfortable,0.875
"Cute style, very wide",4,cute style wide,0.4588
Came late and is to short/ not sending back,2,come late short send,0.0
Great dress !,5,great dress,0.6249
Wonderful supima cotton top!,5,wonderful supima cotton,0.5719
Nice but........,3,nice,0.4215
Cameltoe and doesn't support belly,3,cameltoe not support belly,-0.3089
Prison Chic,2,prison chic,-0.296
Cintura 1cm más pequeño,1,cintura 1 cm más pequeño,0.0
Great dress but long,4,great dress long,0.6249
To big😒,3,big,0.0
Cute but runs small!,4,cute run small,0.4588
It is not soft and it runs very smalll.,2,soft run smalll,0.0
Love style but zipper was sewn together,3,love style zipper sew,0.6369
Comfortable casual tank,3,comfortable casual tank,0.6249
Really loose leg.,2,loose leg,-0.3182
They were for my dad,5,dad,0.0
I’m buying more,5,m buy,0.0
Too much fabric for small built people,3,fabric small build people,0.0
Great spring cardigan,5,great spring cardigan,0.6249
I don't want no scrubs...,3,not want scrub,-0.0572
No elastic,2,elastic,0.0
Fit is not cute,2,fit cute,0.6705
Cute top with the exception of…….,3,cute exception,0.4588
Unexpectedly had to have it,4,unexpectedly,0.0
very good,5,good,0.4404
A lot to love in this dress...,4,lot love dress,0.6369
Loving the lines...,3,love line,0.6369
"Like the style, but quality is crap",2,like style quality crap,-0.0258
Pretty...cool and pretty cool!,4,prettycool pretty cool,0.6705
Stiff material but durabl and a good price.,2,stiff material durabl good price,0.4404
Caught hell trying to exchange wrong size,3,catch hell try exchange wrong size,-0.8271
Itchy tags,1,itchy tag,-0.2732
"Great top, runs a little short",4,great run little short,0.6249
The color green is not as pictured,2,color green picture,0.0
Mumsy,2,mumsy,0.0
There is a problem!,1,problem,-0.4019
Good material/short though,4,good materialshort,0.4404
Not right,2,right,0.0
Nice but nah...,1,nice nah,0.34
Just Okay,3,okay,0.2263
"Comfy, but a bit short.",4,comfy bit short,0.0
DISAPPOINTING,3,disappointing,-0.4939
"Beautiful top, but not on me",3,beautiful,0.5994
Es un blazer sport,3,es un blazer sport,0.0
Fit & quality not as described,3,fit   quality describe,0.3612
Nice cool blouse,4,nice cool blouse,0.6249
Look good but go bad quick,3,look good bad quick,-0.1531
Shimmer spot skirt,4,shimmer spot skirt,0.0
Quality soft material,5,quality soft material,0.0
Run extremely small,2,run extremely small,0.0
It's ok in a pinch,3,ok pinch,0.296
"Runs small, impossible zipper",3,run small impossible zipper,0.0
Smaller than size indicates,3,small size indicate,0.0
Goes with Dress slacks or jeans,5,go dress slack jean,0.0
Not great in person...,2,great person,0.6249
Autumn morning glory,5,autumn morning glory,0.5423
Recommended size was probably right.,5,recommend size probably right,0.3612
Fit large,2,fit large,0.3612
Weird Material,2,weird material,-0.1779
LOVE LOVE LOVE!!,5,love love love,0.9274
Fall transition,4,fall transition,0.0
They are really beautiful but they feel cheap and are not comfortable,2,beautiful feel cheap comfortable,0.802
Was skeptical… I was pleasantly surprised!,5,skeptical pleasantly surprised,0.4019
Poor quality materials and sizes are too small,2,poor quality material size small,-0.4767
Very unhappy ☹️,1,unhappy,-0.4215
"Love, love these jeans",5,love love jean,0.8555
Low waistline,3,low waistline,-0.2732
needs softer touch,4,need soft touch,0.0
"Deep pockets, slightly loose fit.",4,deep pocket slightly loose fit,0.0553
Not flattering if you want to look slim.,2,flattering want look slim,0.3818
They don’t stretch?,2,not stretch,0.0
Adorable design. sizing off,4,adorable design size,0.4939
Very pretty - runs large (busty petites rejoice 3),4,pretty   run large busty petite rejoice 3,0.7269
"Lovely concept, lack of attention to detail",1,lovely concept lack attention detail,0.3612
"Ameee la tela suave, color, modelo, más de lo que espere",4,ameee la tela suave color modelo más de lo que espere,0.4588
Great sweater for fall,5,great sweater fall,0.6249
Size fits but doesn’t look as expected,3,size fit not look expect,0.3612
Different material,2,different material,0.0
Picture is misleading,4,picture mislead,0.0
This product is deceiving,2,product deceive,-0.4019
Lovely material and style,4,lovely material style,0.5859
Lovely top!,5,lovely,0.5859
Boxy but cute,3,boxy cute,0.4588
Fit exactly like model…….curves body,5,fit exactly like modelcurve body,0.6124
Love my jackets.  They can make even blue jeans look dressy.,5,love jacket   blue jean look dressy,0.6369
Pretty but just okay when worn.,3,pretty okay worn,0.4404
Maybe need some petite sizes?,4,maybe need petite size,0.0
Swim review,4,swim review,0.0
"Fits upon arrival, but one wash shrinks 3 inches",3,fit arrival wash shrink 3 inch,0.3612
"Not the most stylish set of pajamas, but very comfortable",5,stylish set pajama comfortable,0.5106
Great in theory,3,great theory,0.6249
Terrible shirts,1,terrible shirt,-0.4767
"Nice, but too long",3,nice long,0.4215
Was not what I expected,3,expect,0.0
Kennedy summer dress,4,kennedy summer dress,0.0
Way to small. Get 1-2 sizes bigger.,3,way small 12 size big,0.0
"Very cute dress, but odd sizing",4,cute dress odd sizing,0.1779
Poor quality stiching,1,poor quality stiche,-0.4767
Nice lightweight raincoat,4,nice lightweight raincoat,0.4215
One Star,1,star,0.0
Fly away sides,2,fly away side,0.0
Sizing is inconsistent,3,size inconsistent,0.0
Nice but runs very small,4,nice run small,0.4215
They're Fine,4,fine,0.2023
What I expected,4,expect,0.0
Comfortable camisole,3,comfortable camisole,0.5106
Cotton?,2,cotton,0.0
"Pretty, if you have an alterations whiz",3,pretty alteration whiz,0.4939
No more Hanes for me! Huge disappointment!,1,hane huge disappointment,-0.25
Added this to collection,4,add collection,0.0
Don't buy!!!,1,not buy,0.0
Like it so much i ordered a second one!,5,like order second,0.3612
good quality and fits great,4,good quality fit great,0.8591
"Cute, but runs larger than large",4,cute run large large,0.4588
Pants ripped at crotch in just 2 weeks,1,pant rip crotch 2 week,0.0
"Very Wrinkly, Color Not As Advertised",3,wrinkly color advertise,0.0
Fits big,4,fit big,0.3612
Beautiful spring dress,4,beautiful spring dress,0.5994
"Good Dress, Wouldn't Buy Again",3,good dress not buy,0.4404
Wanted to love but doesn't work,3,want love not work,0.6705
As pictured but size up!,4,picture size,0.0
Really liked them until they ripped in the crotch after 4 months!,2,like rip crotch 4 month,0.3612
Sweater wrap midi skirt,2,sweater wrap midi skirt,0.0
Well made Jacket,5,jacket,0.0
Seam coming undone,3,seam come undone,0.0
Beware of the mint striped pattern,3,beware mint stripe pattern,0.0
Cute throw on dress,4,cute throw dress,0.4588
So cute but not a great fit,3,cute great fit,0.8625
defective stitching in leg holes,2,defective stitch leg hole,-0.4404
Comfortable and warm!,5,comfortable warm,0.6369
The quality and it they were nothing like description,1,quality like description,0.3612
Fits a little large. The orange is traffic cone orange!,3,fit little large orange traffic cone orange,0.3612
Beautiful dress! Too long.,4,beautiful dress long,0.5994
Slimming,3,slimme,0.0
Men’s 9 inch gym shorts,4,men 9 inch gym short,0.0
Color of the denim is not as shown,2,color denim show,0.0
Moneys worth,5,money worth,0.2263
Not right,2,right,0.0
Wash after you buy,3,wash buy,0.0
I like them alot so i bought 5 pairs,5,like alot buy 5 pair,0.3612
"Yup, no ruffle.",3,yup ruffle,0.0
Stretched out quickly,4,stretch quickly,0.0
So - snug,4,  snug,0.0
The pants are very nice but there is a major caveat,3,pant nice major caveat,0.4215
Mona plaid,4,mona plaid,0.0
Looks just as good in person!,5,look good person,0.4404
"Nice fit, shorter than expected",4,nice fit short expect,0.6486
"Pretty, but buttons stand out too much.",4,pretty button stand,0.4939
"very nice, but the mint green is actually a dull blue-green",3,nice mint green actually dull bluegreen,0.0258
"Runs small, but cute for a casual knit blazer",4,run small cute casual knit blazer,0.5859
"Way darker, over sized.",3,way dark sized,0.0
I like the look but they fit too tight,2,like look fit tight,0.6124
"Fits Ok, but looks a little cheap",3,fit ok look little cheap,0.5719
"Attractive skirt, runs small",4,attractive skirt run small,0.4404
Fits well c,4,fit c,0.3612
Best training/active shorts ever,5,well trainingactive short,0.2732
"Good looking, bud poorly made.",3,good look bud poorly,0.4404
nice blouse,5,nice blouse,0.4215
Fell apart after one use,1,fall apart use,0.0
Awkward and large fit,3,awkward large fit,0.2263
Gets saggy after worn a few times,3,get saggy wear time,0.0
Size & expense were good. Bustline is a bit awkward & the white became ivory.,2,size   expense good bustline bit awkward   white ivory,0.3182
No le quedó bien,2,le quedó bien,0.0
What's with the length?,3,s length,0.0
Order up!,5,order,0.0
Light and cute,4,light cute,0.4588
Cute tunic to throw on and go,3,cute tunic throw,0.4588
Attractive boutique sweater,4,attractive boutique sweater,0.4404
Australian sizing!!,3,australian sizing,0.0
"A bit large, especially waist band.",3,bit large especially waist band,0.0
Smaller than normal,1,small normal,0.0
Thicker fabric than expected,3,thick fabric expect,0.0
Sizing Dissapointment,2,size dissapointment,0.0
"Slim, light weight, waterproof.",5,slim light weight waterproof,0.0
Producto con problema de talla,4,producto con problema de talla,0.0
Vino sucio,3,vino sucio,0.0
Awful product.,3,awful product,-0.4588
Size is small,1,size small,0.0
Had potential,3,potential,0.0
Lacks support,4,lack support,0.1027
Langwyqu Woman Jacket,2,langwyqu woman jacket,0.0
Umm what is this,1,umm,0.0
Polyester lining? no.,4,polyester line,0.0
Lee Jeans have lost their once great quality,2,lee jeans lose great quality,0.34
Petite sizing?,4,petite sizing,0.0
"Great, but runs small.",4,great run small,0.6249
Dressing inspiration,5,dress inspiration,0.5267
Great purchase.,4,great purchase,0.6249
So hot!,2,hot,0.0
Way too long!,2,way long,0.0
So pretty but be careful,4,pretty careful,0.5859
Not recommend while wearing short sleeve underneath it,2,recommend wear short sleeve underneath,0.3612
Loreley tank,4,loreley tank,0.0
The color doesn’t match picture,1,color not match picture,0.0
Fit great but zipper popped anyway,1,fit great zipper pop,0.765
Love it but it runs smaller than its size.,4,love run small size,0.6369
Wine color extremely drab; styling unflattering,3,wine color extremely drab styling unflattere,0.0
Lovely tank,5,lovely tank,0.5859
Go go gadget arms!,3,gadget arm,0.0
Not pink,3,pink,0.0
Comfortable and fit very well although long,4,comfortable fit long,0.7003
Love the lace detail,4,love lace detail,0.6369
Very low cut...and a weird snap,2,low cutand weird snap,-0.4215
Dress felt and fit great.  I got lots of compliments on it.,5,dress feel fit great   get lot compliment,0.8658
Off the grid,5,grid,0.0
Cute sleeves Short torso,4,cute sleeve short torso,0.4588
Run extremely small,2,run extremely small,0.0
Tall girl got a good fit,5,tall girl get good fit,0.6597
Way way to big,1,way way big,0.0
Rugged yet comfortable,5,rugged comfortable,0.5106
Pretty dress but not for me,3,pretty dress,0.4939
Rustler,4,rustler,0.0
You will feel so elegant!,5,feel elegant,0.4767
Roomy soft dress,5,roomy soft dress,0.0
Great summer dress for tall girls!,4,great summer dress tall girl,0.6249
One size off,3,size,0.0
80's acrylic quality,1,80 acrylic quality,0.0
Would not purchase again.,1,purchase,0.0
Will get you noticed!,5,notice,0.0
"Fits strange, flimsy material",2,fit strange flimsy material,0.1779
Nice but not in love,4,nice love,0.7906
Fly away sides,2,fly away side,0.0
True Levi Jean but miss-sized.,3,true levi jean misssize,0.4215
They run big,3,run big,0.0
The combination was absolutely perfect,4,combination absolutely perfect,0.6115
Very comfy for us fat old guys,4,comfy fat old guy,0.0
Off Color,3,color,0.0
Seems like a fake,1,like fake,-0.1531
Cute pattern but feels cheap,3,cute pattern feel cheap,0.4588
"the material is very uncomfortable to me, will make pillows out of it",2,material uncomfortable pillow,-0.3818
Pretty but not for tall ladies,3,pretty tall lady,0.4939
Weird unflattering shape,3,weird unflattering shape,-0.1779
The 29 Regular is only 30' inseam not 32' (Black),3,29 regular 30 inseam 32 black,0.0
Order only if you like super sparkly metallic trim,3,order like super sparkly metallic trim,0.7506
"Easy, flirty style",5,easy flirty style,0.5423
"Fragile, didn’t last even one gentle cycle wash.",1,fragile not gentle cycle wash,-0.3412
Meh.,3,meh,-0.0772
Pilcro has gone so down in quality,2,pilcro go quality,0.0
It's a Dickie,4,dickie,0.0
Awesome pj’s,5,awesome pjs,0.6249
Cute but not worth the price,4,cute worth price,0.5994
Color of the denim is not as shown,2,color denim show,0.0
A little itchy for me,3,little itchy,-0.204
Comfortable but bad design,1,comfortable bad design,-0.0516
VERY COMFORTABLE,5,comfortable,0.5106
Shirts labeled as large but fit as MEDIUM and EXTRA LARGE,1,shirt label large fit medium extra large,0.3612
So small,3,small,0.0
Different material,2,different material,0.0
Way to small. Get 1-2 sizes bigger.,3,way small 12 size big,0.0
Felt restricted,3,feel restrict,-0.3818
Cool & Comfortable for a hot August day,5,cool   comfortable hot august day,0.6808
Camel is Darker Than Pictured,3,camel dark picture,0.0
Good quality of cotton,5,good quality cotton,0.4404
Excellent quality and I love the fit,5,excellent quality love fit,0.886
Sleeves are too tight.,2,sleeve tight,0.0
Don’t shop online for suit,1,not shop online suit,0.0
Surprised i liked this,5,surprised like,0.5267
Wowza,5,wowza,0.0
Thin fabric for fall,4,thin fabric fall,0.0
Size & expense were good. Bustline is a bit awkward & the white became ivory.,2,size   expense good bustline bit awkward   white ivory,0.3182
Great for the price!!,4,great price,0.6249
"Very pretty, lovely color, nice fabrics",4,pretty lovely color nice fabric,0.8689
Great pants but seam issues,4,great pant seam issue,0.6249
Probably best on hourglass bodies,4,probably well hourglass body,0.2732
This product is deceiving,2,product deceive,-0.4019
Coat,5,coat,0.0
Pretty but run large,4,pretty run large,0.4939
A dress with sustance...beautiful,5,dress sustancebeautiful,0.0
Perfect Fit!!!,5,perfect fit,0.7351
Defective stitching,1,defective stitching,-0.4404
Not flattering for big-bellied women,3,flattering bigbellied woman,0.3182
Super Well-made,3,super wellmade,0.5994
Light weight & sheer/ great for layering,5,light weight   sheer great layering,0.6249
Photo is misleading,3,photo mislead,0.0
"Love it but it's pink and blue, not cream and blue",4,love pink blue cream blue,0.6369
Quality would have been bettrr,1,quality bettrr,0.0
Tight on waist,4,tight waist,0.0
Wanted to love these but didn't,3,want love not,0.6705
"Great pants, but found the sizing varied",4,great pant find size varied,0.6249
Horrible fabric!,1,horrible fabric,-0.5423
Immediate favorite/ instant staple,5,immediate favorite instant staple,0.4588
FREAKING HUGE,4,freak huge,-0.1531
Beauty and the beast,3,beauty beast,0.5859
Fit large,2,fit large,0.3612
Not for my curves,3,curve,0.0
The color green is not as pictured,2,color green picture,0.0
Pilcro has gone so down in quality,2,pilcro go quality,0.0
Nice outfit,4,nice outfit,0.4215
Rough when new,4,rough new,0.0
Will break down in five washes,1,break wash,0.0
Cute dress but runs large!,3,cute dress run large,0.4588
Great fit great price,5,great fit great price,0.8934
No hemming or hawing,3,hemming hawing,0.0
Presentation,2,presentation,0.0
Pant suit,4,pant suit,0.0
"Runs big, go down a size",4,run big size,0.0
No quality  can buy better dickes at  Walmart,1,quality   buy well dicke   walmart,0.2732
mmm,4,mmm,0.0
Time For Pocket Revolution,2,time pocket revolution,0.0
Double check your inseam lengths.,5,double check inseam length,0.0
Irregular Fit,1,irregular fit,0.3612
pure white id actually yellow....,3,pure white d actually yellow,0.0
Don't pass by,4,not pass,0.0
"Heavy, long",3,heavy long,0.0
Cute dress but sticky zipper,4,cute dress sticky zipper,0.4588
Size & expense were good. Bustline is a bit awkward & the white became ivory.,2,size   expense good bustline bit awkward   white ivory,0.3182
Too tight across the chest,1,tight chest,0.0
"Good, but not as thin or soft as I prefer",4,good thin soft prefer,0.4404
Not recommend while wearing short sleeve underneath it,2,recommend wear short sleeve underneath,0.3612
Your new favorite pair of jeans,5,new favorite pair jean,0.4588
Not at all as it looks online,2,look online,0.0
It’s looks nice and well made,4,look nice,0.4215
Why is there such a difference in quality?,3,difference quality,0.0
Fits hubby great,5,fit hubby great,0.765
Be careful about sizing,3,careful size,0.1531
Maybe try a size up,3,maybe try size,0.0
thanks!,5,thank,0.3612
Beautiful in light red,4,beautiful light red,0.5994
Ugh... no,2,ugh,-0.4215
Quite nice!,4,nice,0.4215
"A good, all purpose summer shirt",4,good purpose summer shirt,0.4404
More gorgeous in person,5,gorgeous person,0.6124
Very SMALL,1,small,0.0
"Beautiful, maybe a bit ""too delicate""",4,beautiful maybe bit delicate,0.6249
Ready for a cruise!,4,ready cruise,0.3612
"Cute, but poor quality",3,cute poor quality,-0.0258
Retro chic!,5,retro chic,0.2732
Unexpected color,5,unexpected color,0.0
"Material is great, size is definitely loose fit",4,material great size definitely loose fit,0.7906
This shirt was  not wrinkle free,2,shirt   wrinkle free,0.5106
Super comfortable dress with flattering colors,5,super comfortable dress flattering color,0.8591
Shrinks! Now too short!,1,shrink short,0.0
Riding the dowdy line,3,ride dowdy line,0.0
Compared to Gildan tighter belly and loose sleeve cuffs,3,compare gildan tight belly loose sleeve cuff,-0.3182
Well made line,5,line,0.0
Too small for a men's medium,3,small men medium,0.0
"Perfect, comfy, great for hiking and cycling!",5,perfect comfy great hiking cycling,0.8316
Leg holes are way too big,2,leg hole way big,0.0
Pregnant ladies,4,pregnant lady,0.0
The sleeves run small but I still love this shirt,4,sleeve run small love shirt,0.6369
Quality as priced,3,quality price,0.0
Fit Too Tight,1,fit tight,0.3612
Way to big,2,way big,0.0
Lovely print nice for athletic build,4,lovely print nice athletic build,0.765
Its OK but not for me,3,ok,0.296
Durability is a question.,4,durability question,0.0
Cute but not for anyone bigger than a b cup,3,cute big b cup,0.4588
Pretty party dress with some issues,3,pretty party dress issue,0.7096
Fell in love!,4,fall love,0.6369
So wanted to love this but...,2,want love,0.6705
Another big boxy top,2,big boxy,0.0
Wasn’t what I expected it,1,not expect,0.0
"Beautiful top, runs wide",4,beautiful run wide,0.5994
Very orange camel color,3,orange camel color,0.0
Perfect dress for a casual outdoor wedding,4,perfect dress casual outdoor wedding,0.6705
Fun casual summer top,4,fun casual summer,0.6249
The cream is not dotted,3,cream dot,0.0
Poor quality for the $$$,2,poor quality,-0.4767
"Comfy, big armholes , ok",4,comfy big armhole   ok,0.296
Sheds as bad as a wooly dog.,1,shed bad wooly dog,-0.5423
Really loose leg.,2,loose leg,-0.3182
Ready for clown college!,1,ready clown college,0.3612
Absolutely beautiful,5,absolutely beautiful,0.6361
