,Review,Rating,Review_clean,sentiment
1187,Poor fabric quality,1,poor fabric quality,-0.4767
1188,A hit!,5,hit,0.0
1189,Beautiful dress--if you can figure out your size!,4,beautiful dressif figure size,0.5994
1190,"Bought for my sister, she loves it!",5,buy sister love,0.6369
1191,Nice design but quality isses,3,nice design quality isse,0.4215
1192,Love this wool seamed vest,5,love wool seam vest,0.6369
1193,Good summer tank,5,good summer tank,0.4404
1194,"Shrinks, shrinks, shrinks",1,shrinks shrink shrink,0.0
1195,Upholstery fabric,4,upholstery fabric,0.0
1196,"Short dress? long sleeves? yes, please!",5,short dress long sleeve yes,0.4019
1197,"Great top, runs a little short",4,great run little short,0.6249
1198,Great classic look for fall,5,great classic look fall,0.6249
1199,Poor shape for my body type,3,poor shape body type,-0.4767
1200,Weird fit in the bust,2,weird fit bust,0.2023
1201,"Cute style, very wide",4,cute style wide,0.4588
1202,Great coat,5,great coat,0.6249
1203,"Loved it, but...",2,love,0.6369
1204,Very unfortunate,1,unfortunate,-0.4588
1205,Rust not red,4,rust red,0.0
1206,"Great style, not so great workmanship",4,great style great workmanship,0.8481
1207,That unique retailer dress,5,unique retailer dress,0.0
1208,"Love, love, love",5,love love love,0.9274
1209,"Lovely, but it is tight in the chest.",4,lovely tight chest,0.5859
1210,Another tiny success,5,tiny success,0.5719
1211,Bummed out,3,bum,0.0
1212,Not kind to curves,2,kind curve,0.5267
1213,Perfectly adorable!!!!!,5,perfectly adorable,0.8126
1214,Cute top....but shrinks horribly!,1,cute topbut shrink horribly,-0.1027
1215,Flattering a comfortable,5,flatter comfortable,0.5719
1216,Fabric is very stiff....,1,fabric stiff,0.0
1217,Effortless,5,effortless,0.0
1218,"Beautiful color, pretty design, nice fabric",5,beautiful color pretty design nice fabric,0.872
1219,Chic,5,chic,0.2732
1220,Too much pep in this peplum...,3,pep peplum,0.0
1221,The perfect purple piece,5,perfect purple piece,0.5719
1222,Gorgeous and flattering dress by maeve,5,gorgeous flattering dress maeve,0.743
1223,Great every day long-sleeved tee,5,great day longsleeve tee,0.6249
1224,Best basic ever,5,well basic,0.2732
1225,Perfect until washed,3,perfect wash,0.5719
1226,Love it but. . .,3,love  ,0.6369
1227,Soft & versatile tee,5,soft   versatile tee,0.0
1228,Need them all!,5,need,0.0
1229,Best. tee. ever.,5,good tee,0.4404
1230,"Love, but different colors fit differently",4,love different color fit differently,0.7717
1231,Comfort and style to the max!,5,comfort style max,0.3612
1232,Nice but 5% spandex makes it a bit clingy,4,nice 5 spandex make bit clingy,0.4215
1233,Confortable - simple,5,confortable   simple,0.0
1234,"Didn't fit well for me, awkward and dull",2,not fit awkward dull,0.1511
1235,Luxurious basic tee,5,luxurious basic tee,0.0
1236,Awesome shirt,5,awesome shirt,0.6249
1237,Lovely detail,4,lovely detail,0.5859
1238,Favorite go to top,5,favorite,0.4588
1239,Cutest ever!,5,cut,-0.2732
1240,Oversized and unflattering,3,oversized unflattering,0.0
1241,Very pretty top,4,pretty,0.4939
1242,"Ok, but...",4,ok,0.296
1243,Run don't walk to buy this,5,run not walk buy,0.0
1244,Want to like it....,3,want like,0.4215
1245,What happened?,1,happen,0.0
1246,Perfect long sleeve tee!,5,perfect long sleeve tee,0.5719
1247,Adorable but not really a cardigan more a capelet,4,adorable cardigan capelet,0.4939
1248,Only suits smaller chest,2,suit small chest,0.0
1249,The perfect long sleeve t-shirt,5,perfect long sleeve tshirt,0.5719
1250,$200 piece of polyester,2,200 piece polyester,0.0
1251,Best tunic ever,5,good tunic,0.4404
1252,Sooo comfortable!,5,sooo comfortable,0.5106
1253,Bunched elastic,4,bunch elastic,0.0
1254,Unexpected find,5,unexpected find,0.0
1255,Cute casual with a twist,5,cute casual twist,0.5859
1256,So close...,3,close,0.0
1257,This is a poncho,3,poncho,0.0
1258,Great shirt and great quality,5,great shirt great quality,0.8481
1259,Amazing jacket!,5,amazing jacket,0.5859
1260,This is a wonderful top!,5,wonderful,0.5719
1261,Just great,5,great,0.6249
1262,Surprisingly lovely,5,surprisingly lovely,0.7184
1263,Absolutely gorgeous!!!,4,absolutely gorgeous,0.6478
1264,"Soft, snuggly and cute",5,soft snuggly cute,0.4588
1265,Awesome fit,5,awesome fit,0.765
1266,Amazingly comfortable - but different than photo,5,amazingly comfortable   different photo,0.5563
1267,"Lovely, but flawed",1,lovely flawed,0.1779
1268,Must have for fall..,5,fall,0.0
1269,Loved it from the moment i saw it,5,love moment see,0.6369
1270,Awkward hem,3,awkward hem,-0.1531
1271,"If you have a large chest, step away form this one",3,large chest step away form,0.0
1272,Surprised by softness,5,surprise softness,0.2732
1273,Small up top,4,small,0.0
1274,Perfect sweater,5,perfect sweater,0.5719
1275,Great summer pajama pants.,5,great summer pajama pant,0.6249
1276,Unwearable,2,unwearable,0.0
1277,Cute polka dot pattern,4,cute polka dot pattern,0.4588
1278,"Versatile, easy to wear top",4,versatile easy wear,0.4404
1279,Girly bra,4,girly bra,0.0
1280,Cozy for lounging,4,cozy lounge,0.0
1281,Peach delight,5,peach delight,0.5994
1282,New favorite thing!,5,new favorite thing,0.4588
1283,Oh so cozy!,5,oh cozy,0.0
1284,Love the floral print,5,love floral print,0.6369
1285,Cute but hard to put on,3,cute hard,0.3818
1286,Romantic top for fall,5,romantic fall,0.4019
1287,Great for all seasons,5,great season,0.6249
1288,Too loose and swingy,3,loose swingy,-0.3182
1289,Gorgeous but ...,3,gorgeous,0.6124
1290,Killer dress,5,killer dress,-0.6486
1291,Can be flattering,4,flattering,0.3182
1292,Perfect jeans,5,perfect jean,0.5719
1293,3-season skirt!,5,3season skirt,0.0
1294,"Cute fabric, but odd cut",3,cute fabric odd cut,-0.1027
1295,Great fit but not for a 45 year old,4,great fit 45 year old,0.765
1296,Kind of sexy,4,kind sexy,0.7783
1297,Nice but stiff,3,nice stiff,0.4215
1298,Wonderful velvet black jeans!,5,wonderful velvet black jean,0.5719
1299,"Great top, but needs undershirt",5,great need undershirt,0.6249
1300,Great fitted top,5,great fit,0.765
1301,Great dress but cut too low,3,great dress cut low,0.2263
1302,"Travel, weekends, work, go anywhere top.",4,travel weekend work,0.0
1303,Flattering versatile travel piece,5,flattering versatile travel piece,0.3182
1304,Could have been executed better,3,execute well,0.2732
1305,"Nice top, awful fabric",2,nice awful fabric,-0.0516
1306,"Do love it, however:",4,love,0.6369
1307,Navy oompa loompa,3,navy oompa loompa,0.0
1308,Just wow!,5,wow,0.5859
1309,Nice dress but cut too low,3,nice dress cut low,-0.1027
1310,Flattering but very tight in the chest,3,flattering tight chest,0.3182
1311,Gorgeous top! but difficult zipper...,5,gorgeous difficult zipper,0.3612
1312,"Too small, too complicated",1,small complicated,0.0
1313,Buckles and zippers and buttons and straps,3,buckle zipper button strap,0.0
1314,Makes you skinny,5,make skinny,0.0
1315,Surpring dress,5,surpre dress,0.0
1316,Not for the large at bust,5,large bust,0.0
1317,Another great pair of stevies!,5,great pair stevie,0.6249
1318,Amazing vest,5,amazing vest,0.5859
1319,Bought for the color,3,buy color,0.0
1320,Ripped on first day,3,rip day,0.0
1321,This shirt got me a job,5,shirt get job,0.0
1322,Obsessed!,5,obsess,-0.25
1323,Perfect fit for xl,5,perfect fit xl,0.7351
1324,Love it but....,4,love,0.6369
1325,Almost love,4,love,0.6369
1326,Surprised i liked this,5,surprised like,0.5267
1327,"Very beautiful, but runs large",5,beautiful run large,0.5994
1328,Sizing is off?,4,size,0.0
1329,"Great quality, durable and great fit",5,great quality durable great fit,0.8934
1330,Purrrfect pants!,5,purrrfect pant,0.0
1331,Beautiful blouse but too boxy/swingy,3,beautiful blouse boxyswingy,0.5994
1332,Perfect jogger!,5,perfect jogger,0.5719
1333,"Gorgeous blouse, stunning color and pattern",5,gorgeous blouse stunning color pattern,0.765
1334,"Love the shirt, but arm holes are a bit big",2,love shirt arm hole bit big,0.6369
1335,Great jean for 'boyfriend' fit,5,great jean boyfriend fit,0.765
1336,Bought the neutral today,4,buy neutral today,0.0
1337,Beware when washing,3,beware washing,0.0
1338,Pijamas or dress?,2,pijama dress,0.0
1339,"Comfy, well made, not crazy about the fit",3,comfy crazy fit,0.0258
1340,Perfect sweater dress to brighten up winter.,4,perfect sweater dress brighten winter,0.765
1341,"A supportive, comfy bralette? actually, yes.",5,supportive comfy bralette actually yes,0.5994
1342,Lightweight!,5,lightweight,0.0
1343,Lovely sweater dress,5,lovely sweater dress,0.5859
1344,What a controversial piece,3,controversial piece,-0.2023
1345,Pretty fabric but needs serious pressing,3,pretty fabric need press,0.4939
1346,Frumpy and clingy,2,frumpy clingy,0.0
1347,Softest robe,5,soft robe,0.0
1348,"Upholstery material, dry clean only! runs small.",2,upholstery material dry clean run small,0.4019
1349,So fun to wear,5,fun wear,0.5106
1350,Nice jacket to put outfit together,4,nice jacket outfit,0.4215
1351,Slightly disagree with others,3,slightly disagree,-0.3197
1352,Pretty but not perfect,3,pretty perfect,0.7845
1353,Silky and sweet,4,silky sweet,0.4588
1354,Refreshing green,5,refresh green,0.0
1355,Wanted to love it....!,2,want love,0.6705
1356,Quality and look make it a winner,5,quality look winner,0.5859
1357,Not a great fit,2,great fit,0.765
1358,Ethereal and lovely,5,ethereal lovely,0.5859
1359,Stunning and well-made,5,stunning wellmade,0.3818
1360,"Beautiful fabric, frumpy looking on me, however",3,beautiful fabric frumpy look,0.5994
1361,Lovely long loose,5,lovely long loose,0.3612
1362,Elegant and flattering,5,elegant flattering,0.6597
1363,Plaid sherpa robe rocks!,5,plaid sherpa robe rock,0.0
1364,Beautiful & comfortable w/perfect fit,5,beautiful   comfortable wperfect fit,0.8658
1365,Prim and proper,5,prim proper,0.0
1366,Love this bra and pantie set!,5,love bra pantie set,0.6369
1367,"Fabric was divine, but...",3,fabric divine,0.5574
1368,Lightweight and holds their shape,5,lightweight hold shape,0.0
1369,This one doesn't work with full hips,4,not work hip,0.0
1370,Looks cute - but sheds!,2,look cute   shed,0.4588
1371,Weird back,3,weird,-0.1779
1372,Cool versatile tank,5,cool versatile tank,0.3182
1373,Classy t-shirt,5,classy tshirt,0.4404
1374,Great multi-purpose dress,4,great multipurpose dress,0.6249
1375,Makes you look like a football player,1,make look like football player,0.3612
1376,"Super cute, but big",4,super cute big,0.7845
1377,Flowing silk stunner,4,flow silk stunner,0.0
1378,Disapppointing,2,disapppointe,0.0
1379,Comfortable but stylish,5,comfortable stylish,0.5106
1380,Just couldn't get it to work,3,not work,0.0
1381,"Beautiful, but a bit boxy",4,beautiful bit boxy,0.5994
1382,Cute and elegant,5,cute elegant,0.7269
1383,Buy this!,5,buy,0.0
1384,Pretty party piece,4,pretty party piece,0.7096
1385,"Gorgeous dress, runs large",4,gorgeous dress run large,0.6124
1386,Cozy fall staple,5,cozy fall staple,0.0
1387,Something different that's super flattering,5,different s super flattering,0.7351
1388,Beautiful but runs large.,5,beautiful run large,0.5994
1389,New favorite dress,5,new favorite dress,0.4588
1390,Classy top,4,classy,0.4404
1391,Fun holiday top,4,fun holiday,0.7184
1392,"Super cute, great for a wedding",5,super cute great wedding,0.9001
1393,Summer time comfort,4,summer time comfort,0.3612
1394,Cute summer tee!,5,cute summer tee,0.4588
1395,Favorite purchase!,5,favorite purchase,0.4588
1396,"Nice summer top, but very billowy",4,nice summer billowy,0.4215
1397,Unique coat,4,unique coat,0.0
1398,Waaay to big,3,waaay big,0.0
1399,Christmas and valentine's day dress in one!,4,christmas valentine day dress,0.0
1400,Sparkles and lace a nice touch,5,sparkle lace nice touch,0.6808
1401,More shimmery than pictured,5,shimmery picture,0.0
1402,Awesome flare!,5,awesome flare,0.6249
1403,Comfy but put together.,5,comfy,0.0
1404,Blue stripe is pale! :(,4,blue stripe pale,0.0
1405,"Elegant design, awkward cowl",4,elegant design awkward cowl,0.3612
1406,Pretty but unbalanced,2,pretty unbalanced,0.4939
1407,Tts but really long!,5,tts long,0.0
1408,Here comes summer,5,come summer,0.0
1409,Sparkly sweater,2,sparkly sweater,0.0
1410,Soft and super comfy,5,soft super comfy,0.5994
1411,Could do better,4,well,0.2732
1412,Sooo flattering!,5,sooo flattering,0.3182
1413,Lots of style,5,lot style,0.0
1414,Great design but fabric pills very quickly,4,great design fabric pill quickly,0.6249
1416,Gorgeous for fall,5,gorgeous fall,0.6124
1417,"Great light coat, poorly made",3,great light coat poorly,0.6249
1418,Not quite the right fit,4,right fit,0.3612
1419,Luxurious and flattering,5,luxurious flattering,0.3182
1420,Picture misleading,3,picture misleading,-0.4019
1421,Fall perfect,5,fall perfect,0.5719
1422,Very pleased,5,pleased,0.4404
1423,Great with leggings,4,great legging,0.6249
1424,A shirtdress that swings,5,shirtdress swing,0.0
1425,"Beautifully-made, lovely 3-seasons skirt",5,beautifullymade lovely 3seasons skirt,0.5859
1426,Not my kind of fit,2,kind fit,0.7096
1427,Not at all as pictures,1,picture,0.0
1428,Runs small...dowdy length,3,run smalldowdy length,0.0
1429,Wonderful but button issues,4,wonderful button issue,0.5719
1430,Why isn't this dress sold out?!,5,not dress sell,0.0
1431,Velvet crush,5,velvet crush,-0.1531
1432,Babydoll,4,babydoll,0.0
1433,Versitle,4,versitle,0.0
1434,Classic and comfort,4,classic comfort,0.3612
1435,Babydoll rock and roll,4,babydoll rock roll,0.0
1436,Classic and classy,5,classic classy,0.4404
1437,Great light weight sweater!,5,great light weight sweater,0.6249
1438,Really pretty dress,3,pretty dress,0.4939
1439,Super hip,5,super hip,0.5994
1440,It's beautiful!!,5,beautiful,0.5994
1441,Suprisingly great!,5,suprisingly great,0.6249
1442,Oh myyyy comfort!!!!,5,oh myyyy comfort,0.3612
1443,The new overall,5,new overall,0.0
1444,Gorgeous and unique,5,gorgeous unique,0.6124
1445,Amazing vintage top,5,amazing vintage,0.5859
1446,Such a unique piece!,4,unique piece,0.0
1447,Too shimmery,3,shimmery,0.0
1448,Classic dress,4,classic dress,0.0
1449,Lovely colors but boxy,4,lovely color boxy,0.5859
1450,Lovelovelovelovelove*million,5,lovelovelovelovelovemillion,0.0
1451,Cute and understated,4,cute understate,0.4588
1452,Gorgeous arts and crafts aesthetic,5,gorgeous art craft aesthetic,0.6124
1453,Two tone halter dress,3,tone halter dress,0.0
1454,Try it and you won't regret it,4,try will not regret,0.3252
1455,Good for broader shoulders,4,good broad shoulder,0.4404
1456,"Strange fit, nice fabric and stitching",2,strange fit nice fabric stitch,0.5423
1457,Pretty but going back,3,pretty go,0.4939
1458,Greatest party top,5,great party,0.7783
1459,It's a shame,1,shame,-0.4767
1460,Exquisite!,5,exquisite,0.0
1461,Beauty,5,beauty,0.5859
1462,White too white,4,white white,0.0
1463,Best pants ever!!!,5,good pant,0.4404
1464,Tunic love,5,tunic love,0.6369
1465,Very flattering dress!,5,flattering dress,0.3182
1466,Unique and so fun,5,unique fun,0.5106
1467,"Kinda cute, but elastic too tight around the legs",2,kinda cute elastic tight leg,0.4033
1468,Do not buy this dress,1,buy dress,0.0
1469,Best. dress. ever.,5,good dress,0.4404
1470,Super flattering and unique,5,super flattering unique,0.7351
1471,A dress fit for a woman,5,dress fit woman,0.3612
1472,Perfection!,5,perfection,0.5719
1474,Three strikes,2,strike,-0.128
1475,Recommend with a but,3,recommend,0.3612
1476,Lovely color but flimsy!,3,lovely color flimsy,0.5859
1477,Gorgeous blouse,5,gorgeous blouse,0.6124
1478,The white dress is extremely see-through,2,white dress extremely seethrough,0.0
1479,Great linen dress,4,great linen dress,0.6249
1480,Love! my new favorite swimsuit!,5,love new favorite swimsuit,0.802
1481,Loved it,5,love,0.6369
1482,Hourglass figure gals rejoice,5,hourglass figure gal rejoice,0.4404
1483,Fabulous spring/summer dress,5,fabulous springsummer dress,0.5267
1484,"Simple top, love the shape",5,simple love shape,0.6369
1485,Will pass on these,2,pass,0.0
1486,Excited,4,excite,0.4767
1487,Not flattering on anyone,2,flattering,0.3182
1488,Not a rich style...,2,rich style,0.5574
1489,Definitely a summer dress,3,definitely summer dress,0.4019
1490,Wanted to like this more,3,want like,0.4215
1491,Great fun top,5,great fun,0.8126
1492,Awesome colors and shape,5,awesome color shape,0.6249
1493,Vintage-contemporary fashion,4,vintagecontemporary fashion,0.0
1494,Great cropped pants,5,great cropped pant,0.6249
1495,Could have been great!,2,great,0.6249
1496,Cute and different!,4,cute different,0.4588
1497,Really cut pants,4,cut pant,-0.2732
1498,Cool top,5,cool,0.3182
1499,Cayucos tunic,5,cayuco tunic,0.0
1500,Perfect for fall!,5,perfect fall,0.5719
1501,"Simple, flattering, very summer",5,simple flattering summer,0.3182
1502,Fine on sale,3,fine sale,0.2023
1503,Summer favorite,4,summer favorite,0.4588
1504,New favorite brand of yoga pants,5,new favorite brand yoga pant,0.4588
1505,Fun and tons of compliments!,4,fun ton compliment,0.7506
1506,Love the back,5,love,0.6369
1507,Aquarelle leggings rock!!,5,aquarelle leggings rock,0.0
1508,Nice fit - super cute,5,nice fit   super cute,0.9042
1509,Completely cute!,5,completely cute,0.5095
1510,Not worth the price but looks good!,3,worth price look good,0.5859
1511,Staple!,5,staple,0.0
1512,The fit is the thing for this top!,5,fit thing,0.3612
1513,Nice quality pants at a great price,5,nice quality pant great price,0.7845
1514,Even works for the petite,5,work petite,0.0
1515,Perfect dress for a casual outdoor wedding,4,perfect dress casual outdoor wedding,0.6705
1516,"Great fit, but high maintenance",4,great fit high maintenance,0.765
1517,Cant go wrong,5,not wrong,0.3724
1518,Fave shorts,5,fave short,0.4404
1519,Best shorts!,5,good short,0.4404
1520,Love these shorts,5,love short,0.6369
1521,Love. love. love.,5,love love love,0.9274
1522,"Ethereal, powerful, unique - once i put in darts!",5,ethereal powerful unique   dart,0.4215
1523,Short waist,2,short waist,0.0
1524,Different colors are sized differently,4,different color size differently,0.0
1525,Comfy and ok for muscular thighs,4,comfy ok muscular thigh,0.296
1526,Love these but color faded when washed,3,love color fade wash,0.6369
1527,New favorite shorts!,5,new favorite short,0.4588
1528,Great casual short,5,great casual short,0.7096
1529,Color run,1,color run,0.0
1530,Great fall coat!!,5,great fall coat,0.6249
1531,Love these shorts!!,5,love short,0.6369
1532,Whoa vanity sizing!,1,whoa vanity sizing,-0.2263
1533,Please bring back the grey/gray!,4,bring greygray,0.0
1534,Do not buy it!!!,1,buy,0.0
1535,I love these shorts!,5,love short,0.6369
1536,"Comfy, summery",5,comfy summery,0.0
1537,Very soft and pretty,5,soft pretty,0.4939
1538,Something about these shorts!,5,short,0.0
1539,Most beautivul fabric ever!,5,beautivul fabric,0.0
1540,Great fitting for women with curves,5,great fitting woman curve,0.6249
1541,Love pilcro!,5,love pilcro,0.6369
1542,Super gorgeous!,5,super gorgeous,0.836
1543,A favorite this season,5,favorite season,0.4588
1544,Perfect for party,4,perfect party,0.7506
1545,Love and disappointment!,2,love disappointment,0.2263
1546,Great shorts!!!!,5,great short,0.6249
1547,Go to shorts!,5,short,0.0
1548,Perfect shorts,5,perfect short,0.5719
1549,Best shorts around in years!,5,good short year,0.4404
1550,Burlap maternity dress?,1,burlap maternity dress,0.0
1551,Too pricey for the product,4,pricey product,0.0
1552,Love these shorts!,5,love short,0.6369
1553,Amazing top!,5,amazing,0.5859
1554,Favorite shorts ever,5,favorite short,0.4588
1555,Just what i needed in a summer short,5,need summer short,0.0
1556,Simply beautiful.,5,simply beautiful,0.5994
1557,So long,3,long,0.0
1558,Fall transition dress,5,fall transition dress,0.0
1559,Gorgeous but super overpriced,4,gorgeous super overpriced,0.836
1560,Elegant and fun,4,elegant fun,0.7506
1561,Classic and edgy all-in-one,5,classic edgy allinone,0.0
1562,Gorgeous top to bottom,5,gorgeous,0.6124
1563,Perfect summer to fall top,5,perfect summer fall,0.5719
1564,Really close to liking it - but planning to return,4,close like   plan return,0.3612
1565,Adorable but different than i expected,4,adorable different expect,0.4939
1566,On trend,4,trend,0.0
1567,My heart broke a little when i received this skirt,2,heart break little receive skirt,0.6369
1568,Love love love this dress,5,love love love dress,0.9274
1569,Stranger things look,5,stranger thing look,0.0
1570,Great casual or dressy top,4,great casual dressy,0.7096
1571,So happy i treated myself!,5,happy treat,0.7506
1572,Cute but needs a lining,4,cute need lining,0.4588
1573,Unique little socks,4,unique little sock,0.0
1574,Doesn't wash well :(,1,not wash,0.0
1575,"Simple, well-made dress, but needs a slip",4,simple wellmade dress need slip,0.0
1576,Worth the investment!,5,worth investment,0.2263
1577,Great fall top!,4,great fall,0.6249
1578,Cute summery print,4,cute summery print,0.4588
1579,Seeeee thru!,3,seeeee,0.0
1580,So short,3,short,0.0
1581,Lovely little number,5,lovely little number,0.5868
1582,"Cute, go to dress",5,cute dress,0.4588
1583,Whimsical style,5,whimsical style,0.0772
1584,Great top if you get the right size!!,5,great right size,0.6249
1585,Cute and swingy,5,cute swingy,0.4588
1586,Fabulous dress!!!!!!!!!!!,5,fabulous dress,0.5267
1587,I really like it,4,like,0.3612
1588,Off or on the shoulder....,2,shoulder,0.0
1589,Bulky!,3,bulky,0.0
1590,So great,5,great,0.6249
1591,Hidden treasure,5,hide treasure,0.128
1593,Pretty and classic,5,pretty classic,0.4939
1594,Modern swing,4,modern swing,0.0
1595,Shrank!,3,shrank,0.0
1596,"Cute top, poor fit",3,cute poor fit,0.34
1597,Unique but runs big,5,unique run big,0.0
1598,So comfy and versatile!,5,comfy versatile,0.0
1599,Lovely modern design,5,lovely modern design,0.5859
1600,Casual layering piece,5,casual layering piece,0.2023
1602,Like it so much i ordered a second one!,5,like order second,0.3612
1604,Don't do it,1,not,0.0
1605,Beautiful skirt but so noisy,4,beautiful skirt noisy,0.4939
1606,Retro chic,5,retro chic,0.2732
1607,"Love the color, design and flow",5,love color design flow,0.6369
1608,Beautiful design but too big,3,beautiful design big,0.5994
1609,Go to tee,5,tee,0.0
1610,So tent-like and unflattering!,1,tentlike unflattering,0.0
1611,A diamond in the rough!,5,diamond rough,0.34
1612,Love this too,5,love,0.6369
1613,Simple summer style,5,simple summer style,0.0
1614,Pretty but really large!,3,pretty large,0.4939
1615,Great print!,5,great print,0.6249
1616,Cute tee too much fabric,5,cute tee fabric,0.4588
1617,Green is a gorgeous color,5,green gorgeous color,0.6124
1618,Beware - not enough bottom coverage!,2,beware   coverage,0.0
1619,"Pretty, femine",3,pretty femine,0.4939
1620,Beautiful but not the best quality,3,beautiful good quality,0.7783
1621,Just gorgeous!,5,gorgeous,0.6124
1622,Loose and so comfy,5,loose comfy,-0.3182
1623,Cool sweater vest,5,cool sweater vest,0.3182
1624,Great jacket!!!,5,great jacket,0.6249
1625,Sloppy looking,1,sloppy look,0.0
1626,Beautiful dress but too dark,3,beautiful dress dark,0.5994
1627,Attractive,4,attractive,0.4404
1628,Nice but longer than i hoped,4,nice long hope,0.6908
1629,Great vest,5,great vest,0.6249
1630,Anything heihei is amazing,5,heihei amazing,0.5859
1631,"Beautiful, unique piece!",5,beautiful unique piece,0.5994
1632,Elegant and comfy,5,elegant comfy,0.4767
1633,Not attractive,1,attractive,0.4404
1634,Fun jacket,5,fun jacket,0.5106
1635,Classy & stylish,5,classy   stylish,0.4404
1636,Love love this skirt!!,5,love love skirt,0.8555
1637,Comfort at its best,5,comfort good,0.6597
1638,Classy black dress,4,classy black dress,0.4404
1639,Basic t goes girlie,5,basic t go girlie,0.0
1640,Beautiful. great quality. low cut bottom :/,5,beautiful great quality low cut,0.7003
1641,Pretty but poor quality,3,pretty poor quality,0.0258
1642,"Great, great summer tee!",5,great great summer tee,0.8481
1643,Material too filmsy,2,material filmsy,0.0
1644,Beautiful design and color,5,beautiful design color,0.5994
1645,Love this tee!,5,love tee,0.6369
1646,"Nice boxy shirt, pretty buttons",4,nice boxy shirt pretty button,0.7184
1647,A-mazing!!!!!,5,amazing,0.5859
1648,I so want to love this shirt...,3,want love shirt,0.6705
1649,This product was great,5,product great,0.6249
1650,Staple with a quirk,3,staple quirk,0.0
1651,Dress it up of down,5,dress,0.0
1652,I just love this!,5,love,0.6369
1653,"Noce yellow, but so thin",4,noce yellow thin,0.0
1654,"Tshirt and jeans, updated",5,tshirt jean update,0.0
1655,Beautiful and delicate,4,beautiful delicate,0.6249
1656,Ruffle adds just the right flirty touch,4,ruffle add right flirty touch,0.1531
1657,Details,5,detail,0.0
1658,"Oh, so pretty!",4,oh pretty,0.4939
1659,Colors vary slightly from picture,4,color vary slightly picture,0.0
1660,I wish they would redo,2,wish redo,0.4019
1661,Flowy and casual,5,flowy casual,0.2023
1662,Pretty detail,4,pretty detail,0.4939
1663,Nice twist on a classic tee,4,nice twist classic tee,0.4215
1664,Went out and bough it in a second color,4,go bough second color,0.0
1665,Love this shirt!!,5,love shirt,0.6369
1666,What a darling t.,5,darling t,0.5859
1667,Beautiful blouse..try on before purchasing,4,beautiful blousetry purchase,0.5994
1668,Darling cardigan with beautiful detailing,5,darling cardigan beautiful detailing,0.8271
1669,Adorable!!,5,adorable,0.4939
1670,Sweetest print,4,sweetest print,0.0
1671,Even more beautiful in person!,5,beautiful person,0.5994
1672,Vintage picnic style for the win,5,vintage picnic style win,0.5859
1673,Shorter than on model,3,short model,0.0
1674,Great idea poor execution,2,great idea poor execution,0.25
1675,Absolutely perfect design and fit,5,absolutely perfect design fit,0.7755
1676,Perfectly comfortable!,5,perfectly comfortable,0.8176
1677,"Pretty, comfy skirt",4,pretty comfy skirt,0.4939
1678,So excited it's on sale!!,5,excited sale,0.34
1679,Really special topper/coat/long jacket,5,special toppercoatlong jacket,0.4019
1681,Surprisingly flattering,5,surprisingly flattering,0.5423
1682,Works for casual and business casual,4,work casual business casual,0.3818
1683,Super cute & comfy,5,super cute   comfy,0.7845
1684,Yikes!!!!!! $58 wasted!!!!!,1,yike 58 waste,-0.4215
1685,Great flowy dress to combat the summer heat!,5,great flowy dress combat summer heat,0.4019
1686,Pretty but small,5,pretty small,0.4939
1687,Florilege coat,5,florilege coat,0.0
1688,This skirt is sooo comfortable!,4,skirt sooo comfortable,0.5106
1689,I love it!!,5,love,0.6369
1690,A real beauty,4,real beauty,0.5859
1691,Classic retailer,5,classic retailer,0.0
1692,Treat yo self,5,treat yo self,0.4019
1693,If you love cotton and feminine details...,5,love cotton feminine detail,0.6369
1694,Flirty with an odd fit,4,flirty odd fit,0.2023
1695,Simple and feminine,5,simple feminine,0.0
1696,Great little t-shirt with a sweet ruffle,5,great little tshirt sweet ruffle,0.7796
1697,Cute as can be,5,cute,0.4588
1698,Beautiful and comfortable!,5,beautiful comfortable,0.802
1699,Beautiful one-of-a-kind jacket,5,beautiful oneofakind jacket,0.5994
1700,Great easy tee,5,great easy tee,0.7906
1701,Beautiful dress for spring,5,beautiful dress spring,0.5994
1702,Pretty tank top,5,pretty tank,0.4939
1703,Just say yes!,5,yes,0.4019
1704,"Pretty, but stiff",4,pretty stiff,0.4939
1705,Beautiful olive green,5,beautiful olive green,0.5994
1706,Beautiful special occasion dress,5,beautiful special occasion dress,0.765
1707,Great tee!,5,great tee,0.6249
1708,Tank top with a little something extra,5,tank little extra,0.0
1709,Favorite dress,5,favorite dress,0.4588
1710,The dress has nice fabric.,4,dress nice fabric,0.4215
1711,Bohemian and lovely,5,bohemian lovely,0.5859
1712,Unique blouse; comfortable fit,4,unique blouse comfortable fit,0.7003
1713,My favorite retailer dress ever!,5,favorite retailer dress,0.4588
1714,Cute black t-shirt,4,cute black tshirt,0.4588
1715,Perfect little dress,5,perfect little dress,0.5719
1716,"Large, long, and lovely",5,large long lovely,0.5859
1717,"Pretty dress, poor fit",2,pretty dress poor fit,0.3818
1718,Embroidered perennial dress,4,embroider perennial dress,0.0
1719,Very cute summer dress,4,cute summer dress,0.4588
1720,Misleading colors,3,mislead color,0.0
1721,"Love this dress, and so comfortable!",5,love dress comfortable,0.8176
1722,Best dress ever,5,good dress,0.4404
1723,Transformed into a crop top with one washing,1,transform crop washing,0.0
1724,Compliment grabber,5,compliment grabber,0.4767
