,Review,Rating,Review_clean,sentiment
1251,Fantastic buy!,5,fantastic buy,0.5574
1252,Runs small in size,4,run small size,0.0
1253,The accompanying belt is unstable.,2,accompany belt unstable,-0.3612
1254,Least flattering dress on earth,1,flattering dress earth,0.3182
1255,Sheer fabric and crotch too low,3,sheer fabric crotch low,-0.2732
1256,Expensive,4,expensive,0.0
1257,not good,1,good,0.4404
1258,Hot fabric,2,hot fabric,0.0
1259,Print was cute. Sized entirely too small for what was listed.,2,print cute sized entirely small list,0.4588
1260,Dissappointed,2,dissappointe,0.0
1261,more bulky and not as soft a cotton for sleeping,3,bulky soft cotton sleep,0.0
1262,"Beautiful, but snags very easily",4,beautiful snag easily,0.743
1263,"Gorgeous little suit with shirt, clip on tie, and pocket square!",5,gorgeous little suit shirt clip tie pocket square,0.6124
1264,First time ever ordering pants online and got exactly what I wanted I’m impressed,5,time order pant online get exactly want m impressed,0.5267
1265,Really comfy but sorta thin material,5,comfy sorta thin material,0.0
1266,Fly is Too Short!,3,fly short,0.0
1267,Lovely feel and color,4,lovely feel color,0.5859
1268,Holes everywhere,1,hole,0.0
1269,Beautiful but won't last!,1,beautiful will not,0.5994
1270,Good looking ...limited quality,2,good look limited quality,0.25
1271,"Not Stretch, if you have big thighs, pass",3,stretch big thigh pass,0.0
1272,"I live these shorts, but I wouldn't call them light weight",5,live short not light weight,0.0
1273,Loosens up,4,loosen,0.0
1274,Very disappointed with quality and fit,1,disappointed quality fit,-0.1531
1275,Very well made - runs large!,3,  run large,0.0
1276,GOOD LOOKING,5,good look,0.4404
1277,Good just not for me,2,good,0.4404
1278,Comfortable workout shorts,5,comfortable workout short,0.5106
1279,Great but...,4,great,0.6249
1280,Awkward to wear,3,awkward wear,-0.1531
1281,"Okay sweater, color way off",3,okay sweater color way,0.2263
1282,Lovely blouse but beware if you are busty.,4,lovely blouse beware busty,0.5859
1283,Gorgeous but...,4,gorgeous,0.6124
1284,By the end of the day these jeans shimmy down =(,2,end day jean shimmy,0.0
1285,Lots of compliments!,5,lot compliment,0.4767
1286,Colors are not as vivid as in the add,3,color vivid add,0.0
1287,Great pants - but damaged,4,great pant   damage,0.2263
1288,Super satisfied!!!!,5,super satisfied,0.7717
1289,Large hole in it.,2,large hole,0.0
1290,Signature retailer sweater,5,signature retailer sweater,0.0
1291,SCAM,1,scam,-0.5719
1292,Perfect to trip to Alaska,5,perfect trip alaska,0.5719
1293,Only for the tall at heart,3,tall heart,0.6369
1294,So close! but one fatal flaw.....,3,close fatal flaw,-0.5423
1295,Super cute and great quality,5,super cute great quality,0.9001
1296,Made in China- everything too small from there,1,china small,0.0
1297,A little large but love it nonetheless!,4,little large love nonetheless,0.6022
1298,Not good quality-,2,good quality,0.4404
1299,Fun everyday dress,4,fun everyday dress,0.5106
1300,Stumpy arms,2,stumpy arm,0.0
1301,Design flaw causes the 3rd Belt loop bottom from left to tear loose from jeans,2,design flaw cause 3rd belt loop left tear loose jean,-0.3182
1302,Different dresses,1,different dress,0.0
1303,COMFORT,5,comfort,0.3612
1304,For the big and tall crowd,4,big tall crowd,0.0
1305,Beautiful but runs huge,3,beautiful run huge,0.7351
1306,Very pleased with product,5,pleased product,0.4404
1307,"Beautiful color, odd fit",3,beautiful color odd fit,0.6249
1308,Order a size up!,5,order size,0.0
1309,Love the cropped flare,5,love crop flare,0.6369
1310,so soft,5,soft,0.0
1311,Classic traditional fit,4,classic traditional fit,0.3612
1312,Nice casual pant...if the fit and color worked,4,nice casual pantif fit color work,0.7269
1313,great for the price and end of season,5,great price end season,0.6249
1314,Not enough style,3,style,0.0
1315,Dissapointed.,2,dissapointe,0.0
1316,Not soft at all,1,soft,0.0
1317,Using for 3 years and still rockin'. Bought for work and play. Great fit for women.,5,3 year rockin buy work play great fit woman,0.8402
1318,Good tee but not the same as past version,4,good tee past version,0.4404
1319,Ordered size up,5,order size,0.0
1320,Very comfortable and light weight,5,comfortable light weight,0.5106
1321,Not as it appears,2,appear,0.0
1322,Boxy. large.,3,boxy large,0.0
1323,Size runs large,4,size run large,0.0
1324,Very plain on the front,3,plain,0.0
1325,Not so sure about it,3,sure,0.3182
1326,"Ordered my normal size, but these were way too small",1,order normal size way small,0.0
1327,"Beautiful color, too full in the top",4,beautiful color,0.5994
1328,Nice but get loose real quick,3,nice loose real quick,0.128
1329,Sizes run very small.,1,size run small,0.0
1330,Smelly!,4,smelly,0.0
1331,"Very nice, fits perfect",5,nice fit perfect,0.8402
1332,Wrong Material,2,wrong material,-0.4767
1333,Buy smaller size,3,buy small size,0.0
1334,"Sadly, not for me",3,sadly,-0.4215
1335,reliable fit,5,reliable fit,0.3612
1336,Great Quality! Buying more.,4,great quality buy,0.6249
1337,Nice fit but not a summer fabric,4,nice fit summer fabric,0.6486
1338,Garbage can!!!,1,garbage,0.0
1339,Buy bigger,4,buy big,0.0
1340,Pretty pattern and nice weight.,4,pretty pattern nice weight,0.7184
1341,"Beautiful colors, runs large",4,beautiful color run large,0.5994
1342,Lovely cut,4,lovely cut,0.4019
1343,GF loves it <3,5,gf love 3,0.6369
1344,Crewneck Sweater,2,crewneck sweater,0.0
1345,Summer pajamas,4,summer pajama,0.0
1346,One pocket was sewn closed. One snap button doesn't snap.,2,pocket sew closed snap button not snap,0.0
1347,Front is not flattering,3,flattering,0.3182
1348,Too long but will keep it n wear with skinny jeans,4,long n wear skinny jean,0.0
1349,Irregular Item. Non-Flattering,1,irregular item nonflattering,0.0
1350,Poor qualit and expensive,1,poor qualit expensive,-0.4767
1351,Don’t waste your money unless you’re low on rags!,1,not waste money low rag,0.4847
1352,Much bigger than last year's version,3,big year version,0.0
1353,TOO BIG EVEN FOR XS,1,big xs,0.0
1354,Runs to big,3,run big,0.0
1355,Poor sewing,1,poor sewing,-0.4767
1356,Cute and understated,4,cute understate,0.4588
1357,"Size not corect, by a wide margin.",2,size corect wide margin,0.0
1358,They fit okay,3,fit okay,0.5267
1359,Nice purchase,5,nice purchase,0.4215
1360,Little longer,2,little long,0.0
1361,Ruined a whole dress with one ridiculous logo,2,ruin dress ridiculous logo,-0.743
1362,No good,1,good,0.4404
1363,I would not buy this product again,1,buy product,0.0
1364,Super cute .... but,4,super cute  ,0.7845
1365,Very stylish but made with cheap fabric,3,stylish cheap fabric,0.0
1366,Important to know,1,important know,0.2023
1367,Lightweight classy work trouser,4,lightweight classy work trouser,0.4404
1368,Fabric is meh,3,fabric meh,-0.0772
1369,"Beautiful color, poor design in the back",3,beautiful color poor design,0.2023
1370,I don't like them at all,2,not like,-0.2755
1371,Cute top it wrinkles with washing and material stains easy,2,cute wrinkle washing material stain easy,0.7096
1372,"Love these, so comfortable!",5,love comfortable,0.8176
1373,I plus size to big,3,plus size big,0.0
1374,Ni siquiera era el color y faltaba una pieza,1,ni siquiera era el color y faltaba una pieza,0.0
1375,Love them!!,5,love,0.6369
1376,"Xl fits small, light blue is pretty",2,xl fit small light blue pretty,0.6908
1377,I'd buy again,4,d buy,0.0
1378,Size chart inaccurate,3,size chart inaccurate,0.0
1379,Sent to me damaged,2,send damaged,-0.4404
1380,Ripped after just one wear and wash,2,rip wear wash,0.0
1381,Little short,4,little short,0.0
1382,Simple and stunning,5,simple stunning,0.3818
1383,Wearing this blouse right now,5,wear blouse right,0.0
1384,Not for a 34g,4,34 g,0.0
1385,A winner for me,4,winner,0.5859
1386,Too many pleats,2,pleat,0.0
1387,This is not true to size.  You should order at least two sizes… disappointing I will return,1,true size   order size disappoint return,0.0258
1388,Zipper was broken,3,zipper break,0.0
1389,Not a true medium but lovely!,5,true medium lovely,0.765
1390,"Lovely material, bit boxy",5,lovely material bit boxy,0.5859
1391,It is using button instead of zipper,1,button instead zipper,0.0
1392,It’s a decal,3,decal,0.0
1393,SIZE,4,size,0.0
1394,Not slim fit,3,slim fit,0.3612
1395,Fits like a sack of potatoes!,1,fit like sack potato,0.6124
1396,Ok pants,3,ok pant,0.296
1397,"Poorly made, 1st time worn stitching unraveled",2,poorly 1st time wear stitch unraveled,0.0
1398,Make it in more colors!,5,color,0.0
1399,Runs Very Large,4,run large,0.0
1400,Very cheap,1,cheap,0.0
1401,"Great design, sizing tough",4,great design size tough,0.5574
1402,Pretty but scratchy,3,pretty scratchy,0.4939
1403,Run VERY small & very stiff,3,run small   stiff,0.0
1404,Great throw on dress!!,5,great throw dress,0.6249
1405,Hated material…too hot in the South.,3,hate materialtoo hot south,-0.5719
1406,Weird all around,2,weird,-0.1779
1407,Great work jacket,5,great work jacket,0.6249
1408,Artsy,5,artsy,0.0
1409,Gorgeous colors!,4,gorgeous color,0.6124
1410,Fabric failed in 4 months,1,fabric fail 4 month,-0.5423
1411,Nice suit for prom,4,nice suit prom,0.4215
1412,Great layering top,4,great layering,0.6249
1413,Light Weight Poncho Style Jacket - Stows In Built-In Pouch?,5,light weight poncho style jacket   stow builtin pouch,0.0
1414,Huge arm holes,2,huge arm hole,0.3182
1415,Pretty but cheap,1,pretty cheap,0.4939
1416,Not the same size as ones bought in the store- don’t purchase,1,size one buy store not purchase,0.0
1417,Muy chica,2,muy chica,0.0
1418,"Calidad media, no es algodón suave",3,calidad media es algodón suave,0.4588
1419,Horrible Stitching Multiple spots,2,horrible stitch multiple spot,-0.5423
1420,Nice quality but….,3,nice quality,0.4215
1421,Had higher hopes,4,high hope,0.4404
1422,"Great jeans, horrible smell",2,great jean horrible smell,0.1531
1423,Great product!!,5,great product,0.6249
1424,Good to shop ☺,4,good shop,0.4404
1425,Super slimming,5,super slimme,0.5994
1426,Ripped on 2nd wear,3,rip 2nd wear,0.0
1427,Pretty & stretchy but feels yucky,2,pretty   stretchy feel yucky,0.1027
1428,Stunning but runs small,4,stunning run small,0.3818
1429,Adorable spring time dress!,4,adorable spring time dress,0.4939
1430,Looks cute day or night,4,look cute day night,0.4588
1431,Terrible!,1,terrible,-0.4767
1432,Did not get refund more than month waiting,1,refund month wait,0.0
1433,Gray jeans,4,gray jean,0.0
1434,Amazon is Sending Previously-worn Sweaters,1,amazon send previouslyworn sweater,0.1779
1435,POOR QUALITY!!,1,poor quality,-0.4767
1436,Fabulous!!,5,fabulous,0.5267
1437,Comfortable but might not cover a large chested person.,4,comfortable cover large cheste person,0.5106
1438,"Unique, classy",5,unique classy,0.4404
1439,Beautiful but extremely see thru,2,beautiful extremely,0.5994
1440,Lovely :),4,lovely,0.5859
1441,A real beauty!,4,real beauty,0.5859
1442,Needs a zipper,3,need zipper,0.0
1443,"Cheap, comfortable, and available in a few uncommonly supported inseams",3,cheap comfortable available uncommonly support inseam,0.7184
1444,A lot of room,3,lot room,0.0
1445,It’s not what the size is!,1,size,0.0
1446,These jeans are cut too big,5,jean cut big,-0.2732
1447,Poor quality and fit,1,poor quality fit,-0.1531
1448,"I love this sweater coat, but",4,love sweater coat,0.6369
1449,Not true to size at all….way too small!,1,true size allway small,0.4215
1450,Comfy and lovely,5,comfy lovely,0.5859
1451,Easy breezy and pretty!,5,easy breezy pretty,0.7269
1452,Weird seams,2,weird seam,-0.1779
1453,This is Not a Calvin,2,calvin,0.0
1454,Nice sweatshirt,5,nice sweatshirt,0.4215
1455,Comfortable and relaxed look,4,comfortable relaxed look,0.7579
1456,"Nice dress, not beautiful; well-made, comfortable",4,nice dress beautiful wellmade comfortable,0.875
1457,Flight pattern tunic,5,flight pattern tunic,0.0
1458,"Great price, wrinkled",3,great price wrinkle,0.6249
1459,Didn’t liked,1,not like,-0.2755
1460,Great oversized blazer,5,great oversized blazer,0.6249
1461,Lo volvería a comprar,5,lo volvería comprar,0.0
1462,Color was not the same in person,2,color person,0.0
1463,Notice: very wide leg,1,notice wide leg,0.0
1464,A little rough!,3,little rough,0.0
1465,Button came off b4 3 washes. cannot be sewn. Had to wear dirty pants that day thanx.,1,button come b4 3 wash sew wear dirty pant day thanx,-0.4404
1466,Worst peplum top in history,1,worst peplum history,-0.6249
1467,"Pretty, flown dress",3,pretty fly dress,0.4939
1468,"Lovely spring sweater, TTS - instant favorite.",5,lovely spring sweater tts   instant favorite,0.7783
1469,Cute suit-didn't work for me,1,cute suitdidnt work,0.4588
1470,Very soft and comfy!,5,soft comfy,0.0
1471,Very pretty sweater,5,pretty sweater,0.4939
1472,Not what I thought really disapointed.,3,think disapointe,0.0
1473,"Snug in waist, otherwise great.",3,snug waist great,0.6249
1474,Terrible buy,1,terrible buy,-0.4767
1475,Very nice and worth the price!,5,nice worth price,0.5719
1476,not flannel,4,flannel,0.0
1477,OBSESSED,5,obsess,-0.25
1478,Not for the busty babes!,2,busty babe,0.0
1479,Nice design but poorly executed,1,nice design poorly execute,0.4215
1480,Beautiful dress but poor quality,2,beautiful dress poor quality,0.2023
1481,Holes after worn 5 times,2,hole wear 5 time,0.0
1482,Didn't work for me but a beautiful sweater,4,not work beautiful sweater,-0.4847
1483,Adequate but never really fit right on me,3,adequate fit right,0.5267
1484,Disappointing purchase,2,disappointing purchase,-0.4939
1485,Goofy skirt on this dress.,1,goofy skirt dress,0.0
1486,terrible,1,terrible,-0.4767
1487,Nice print,3,nice print,0.4215
1488,"I am looking for cotton pant, this like different material",1,look cotton pant like different material,0.3612
1489,This top surprised me!,5,surprise,0.2732
1490,Wanted to like this more,3,want like,0.4215
1491,"Great fit, very stretchy",4,great fit stretchy,0.765
1492,"Size down, way down",3,size way,0.0
1493,Maybe the most comfortable pants ever,5,maybe comfortable pant,0.5106
1494,Too loose,1,loose,-0.3182
1495,Flattering but not for work,3,flattering work,0.3182
1496,If you're unsure about being in between a size...size down one on this sweater,4,unsure sizesize sweater,-0.25
1497,"Why don't you look good on me, lovely cardigan?",4,not look good lovely cardigan,-0.6681
1498,nice rain jacket,4,nice rain jacket,0.4215
1499,Priceless classic,5,priceless classic,0.0
1500,Not Cotton at all  Rayan and linen,1,cotton   rayan linen,0.0
1501,Great shirt. Great value,5,great shirt great value,0.891
1502,Not quite what I thought,1,think,0.0
1503,"Nice, but Scratchy",4,nice scratchy,0.4215
1504,Accurate description,5,accurate description,0.0
1505,Shrinks after washing,1,shrink washing,0.0
1506,Pretty boho three season dress,4,pretty boho season dress,0.4939
1507,fits ok,5,fit ok,0.5719
1508,Good fit but very fragile fabric,1,good fit fragile fabric,0.6597
1509,Unique and pretty but kinda sheer,4,unique pretty kinda sheer,0.4939
1510,"Ok shirt, white is off white",3,ok shirt white white,0.296
1511,"Cheap fabric, not worth the money",2,cheap fabric worth money,0.2263
1512,Lindo me encanto,4,lindo encanto,0.0
1513,For a nymph waist,3,nymph waist,0.0
1514,Not flattering on a larger chest,3,flattering large chest,0.3182
1515,Didn't try it on,2,not try,0.0
1516,Falling apart after 2 wears,1,fall apart 2 wear,0.0
1517,Perfect white shirt,5,perfect white shirt,0.5719
1518,The pants are see-through,2,pant seethrough,0.0
1519,"Bout the xsmall for my 5'1"" inch wife.",1,bout xsmall 51 inch wife,0.0
1520,"Great Jacket but runs small.  Advise to get a Medium, needed a Large.",2,great jacket run small   advise medium need large,0.6249
1521,Cute but can add love handles,3,cute add love handle,0.802
1522,Warm and chic,4,warm chic,0.4588
1523,Strike out,2,strike,-0.128
1524,Just your basic long sleeve shirt,3,basic long sleeve shirt,0.0
1525,Too bad,2,bad,-0.5423
1526,Terrible pattern placement of flowers on chest,1,terrible pattern placement flower chest,-0.4767
1527,Ripped after a month,1,rip month,0.0
1528,"Rough, scratchy",2,rough scratchy,0.0
1529,Makes me sweat MORE!,1,make sweat,0.0
1530,Great dress for teaching in,5,great dress teaching,0.6249
1531,They run big!,3,run big,0.0
1532,Tall women have longer legs too,2,tall woman long leg,0.0
1533,Heartbroken,3,heartbroken,-0.6486
1534,"Cute dress, impossible zipper, funky sizing",2,cute dress impossible zipper funky sizing,0.3818
1535,"Great Pajamas, Misleading Description",4,great pajama mislead description,0.6249
1536,"So, so small!",3,small,0.0
1537,Way to big and boxy,2,way big boxy,0.0
1538,Best swim skirt ever...please offer more options,5,good swim skirt everplease offer option,0.4404
1539,These shorts are so comfortable!,5,short comfortable,0.5106
1540,Beware when washing,3,beware washing,0.0
1541,Nice Tee shirts with a pocket!,5,nice tee shirt pocket,0.4215
1542,The material is way too stiff.,2,material way stiff,0.0
1543,Not got us curvy girls,4,get curvy girl,0.0
1544,Puffer jacket,4,puffer jacket,0.0
1545,Returned without using.,2,return,0.0
1546,"Boxy, short and unflattering",2,boxy short unflattering,0.0
1547,"Not quite an every day staple, but nice top",4,day staple nice,0.4215
1548,No Pants Pockets - Very Thin Material,3,pant pocket   thin material,0.0
1549,Returned. Poor fit,2,return poor fit,-0.1531
1550,Color faded in just 5 hours wearing in the sun!,2,color fade 5 hour wear sun,0.0
1551,"Great colors, runs small",4,great color run small,0.6249
1552,For slender legs only,3,slender leg,0.0
1553,Check zippers. I bought 4 pair and 1 pair the zipper doesn't work.,5,check zipper buy 4 pair 1 pair zipper not work,0.0
1554,Yoga style shorts,5,yoga style short,0.0
1555,Love everything but should have done small,4,love small,0.6369
1556,Fabric has a sheen,1,fabric sheen,0.0
1557,Wonderful sweater!,5,wonderful sweater,0.5719
1558,Disappointing ...,2,disappointing,-0.4939
1559,We love it! Fit for a graduation ball,5,love fit graduation ball,0.7717
1560,Comfortable and fit well,5,comfortable fit,0.7003
1561,Fit perfet,5,fit perfet,0.3612
1562,Nice and flowy,4,nice flowy,0.4215
1563,A good idea that doesn't deliver,2,good idea not deliver,0.4404
1564,Didn't meet expectations,2,not meet expectation,0.0
1565,Pretty but.....,3,pretty,0.4939
1566,Runs small but great length,2,run small great length,0.6249
1567,Loose/boxy and cheap material,2,looseboxy cheap material,0.0
1568,There wasn’t the 3 piece in the package. Just the coat and pant. I’m very disappointed with this.,2,not 3 piece package coat pant m disappointed,-0.4767
1569,don't buy,1,not buy,0.0
1570,Love want more,5,love want,0.6705
1571,Bargain hoodie,5,bargain hoodie,0.2023
1572,Frumpy fit,1,frumpy fit,0.3612
1573,Nice but to big,2,nice big,0.4215
1574,Nice camisole,4,nice camisole,0.4215
1575,Incredibly uncomfortable,1,incredibly uncomfortable,-0.4391
1576,Stained product,2,stain product,0.0
1577,Not worth the cost...,1,worth cost,0.2263
1578,Do not buy! TOTALLY SEE THROUGH! Quality dropped.,1,buy totally quality drop,-0.3353
1579,Fabric quality has gone down hill,2,fabric quality go hill,0.0
1580,Looks nice but requires a lot of care,3,look nice require lot care,0.7184
1581,Muy costoso,1,muy costoso,0.0
1582,Runs larger than expected,5,run large expect,0.0
1583,Get this dress before it's gone!,5,dress gone,0.0
1584,Black Jeans Rustler,5,black jean rustler,0.0
1585,"Nice cardigan, odd colors",4,nice cardigan odd color,0.128
1586,Preciosa.,5,preciosa,0.0
1587,Nice styling but shapeless,1,nice styling shapeless,0.4215
1588,The sleeves are a little lo55,4,sleeve little lo55,0.0
1589,Beautiful shirt on model but no,2,beautiful shirt model,0.5994
1590,Cheap one,1,cheap,0.0
1591,Might work for narrow hips,3,work narrow hip,0.0
1592,Exactly What I was looking for,5,exactly look,0.0
1593,Not typical of retailer quality,2,typical retailer quality,0.0
1594,"Well made, great price",5,great price,0.6249
1595,"Very flattering w high waist, flareD skirt",5,flattering w high waist flare skirt,0.3182
1596,Maybe in a different color,3,maybe different color,0.0
1597,Cute buttondown; runs large,4,cute buttondown run large,0.4588
1598,Seems like it’s for teens not women,2,like teen woman,0.3612
1599,Shrunk in the wash,2,shrink wash,0.0
1600,Why is it so big?,3,big,0.0
1601,"Beautiful, but cheaply made",2,beautiful cheaply,0.5994
1602,Feels Cheap...but I Guess It Is,2,feel cheapbut guess,0.0
1603,not cotton and won't stretch,3,cotton will not stretch,0.0
1604,extremely comfortable,5,extremely comfortable,0.5563
1605,Oops!,2,oops,0.0
1606,Soft Material and Cute Fit,5,soft material cute fit,0.6705
1607,"Flirty, floaty little number",4,flirty floaty little number,0.1548
1608,Shapeless and itchy sweater,2,shapeless itchy sweater,-0.2732
1609,I'd hoped it would be better.,2,d hope well,0.6124
1610,Deba vest,4,deba vest,0.0
1611,As pictured and Comfy,5,picture comfy,0.0
1612,Great leggings not jeans!,5,great legging jean,0.6249
1613,Wide and muted color,4,wide mute color,0.0
1614,Seems fine.,4,fine,0.2023
1615,Pretty blue,3,pretty blue,0.4939
1616,Color is great,4,color great,0.6249
1617,Love it =)),4,love,0.6369
1618,Great for lounging around in,5,great lounge,0.6249
1619,Jacket fell short,2,jacket fall short,0.0
1620,Wrangler Authentics Flex Flex,1,wrangl authentic flex flex,0.0
1621,Fabric is inside out,1,fabric inside,0.0
1622,Love this gorgeous top!,5,love gorgeous,0.8481
1623,Pretty & comfy dress,4,pretty   comfy dress,0.4939
1624,Super comfortable but not frumpy,5,super comfortable frumpy,0.802
1625,One belt loop was missing but the fitting was great so will buy again !!,3,belt loop miss fitting great buy,0.5423
1626,A funny thing happens as women's figures fill out,3,funny thing happen women figure fill,0.4404
1627,If you’re curvy SIZE UP,4,curvy size,0.0
1628,These are snug.,1,snug,0.0
1629,A must buy!!,5,buy,0.0
1630,The white dress is extremely see-through,2,white dress extremely seethrough,0.0
1631,"Decent Pants, Light Fabric",3,decent pant light fabric,0.0
1632,Excellent Product!,5,excellent product,0.5719
1633,ORDER LARGER SIZE,3,order large size,0.0
1634,Ok for the money.  I will need to be very careful when I wash it.  Afraid it will shrink and fade.,3,ok money   need careful wash   afraid shrink fade,0.4215
1635,Nice design but quality isses,3,nice design quality isse,0.4215
1636,The pant set smells like cigarette smoke.  Trying to air it out,2,pant set smell like cigarette smoke   try air,0.3612
1637,Summer top,4,summer,0.0
1638,Loved the color and fabric but fit was not great,2,love color fabric fit great,0.8957
1639,Two big for a skinny 76-year-old.,3,big skinny 76yearold,0.0
1640,Not what I ordered,3,order,0.0
1641,Well fitted. just right.,4,fit right,0.3612
1642,"Size is correct, don't order larger.",4,size correct not order large,0.0
1643,"Tight sleeves, overly blousy top",3,tight sleeve overly blousy,0.0
1644,"Great fit, poor quality?",3,great fit poor quality,0.5423
1645,Nice gift idea,5,nice gift idea,0.6908
1646,Size is way to small not a good product will never order from this company again!!!!,1,size way small good product order company,0.4404
1647,Don’t buy! Complete waist of money.,1,not buy complete waist money,0.0
1648,"Love the print, hate the fit",3,love print hate fit,0.4588
1649,"Little short for an extra large I'm 6'2""",4,little short extra large m 62,0.0
1650,"So soft, but the pieces don't fit",3,soft piece not fit,-0.2755
1651,Great transitional sweater!,4,great transitional sweater,0.6249
1652,"Jacket, shirt and tie are so sweet",4,jacket shirt tie sweet,0.4588
1653,"Pretty dress, lots of fabric",4,pretty dress lot fabric,0.4939
1654,Cool and comfy,5,cool comfy,0.3182
1655,Kept Them Both,5,keep,0.0
1656,Feels great and looks great too!,5,feel great look great,0.8481
1657,Impossible to put on,2,impossible,0.0
1658,Boho brilliance for below freezing temperatures,5,boho brilliance freeze temperature,0.6249
1659,Sleeves are so tight!,3,sleeve tight,0.0
1660,Beautiful but fuzzy,4,beautiful fuzzy,0.5994
1661,Nice detailing,4,nice detailing,0.4215
1662,What can be said about a pair of pajamas?,4,say pair pajama,0.0
1663,Not bad.,3,bad,-0.5423
1664,Lovely and versitle!,5,lovely versitle,0.5859
1665,i did not look at the size before I order it sorry. and I only got the paints.,1,look size order sorry get paint,-0.0772
1666,I was really disappointed,2,disappointed,-0.4767
1667,Tight af,3,tight af,0.0
1668,Definitely try on before buying,3,definitely try buy,0.4019
1669,Ribbed cardigan,1,rib cardigan,0.0
1670,sizing is all wrong.,2,size wrong,-0.4767
1671,Zipper?,3,zipper,0.0
1672,Top is a little clingy,4,little clingy,0.0
1673,Poor desgn,1,poor desgn,-0.4767
1674,Poor Quality.  Shinks in wash.,1,poor quality   shink wash,-0.4767
1675,"Busty ladies with curves, size up!",4,busty lady curve size,0.0
1676,Made me cry,1,cry,-0.4767
1677,These “slim fits” are not slim fit at all.,1,slim fit slim fit,0.6124
1678,Home made,1,home,0.0
1679,Different colors are sized differently,4,different color size differently,0.0
1680,"Fun color, interesting fit",3,fun color interesting fit,0.8176
1681,Black and white shirt,5,black white shirt,0.0
1682,"Yeah definitely don't go up a size,it's regular sizing.",4,yeah definitely not sizeit regular sizing,0.5994
1683,Long but tight,3,long tight,0.0
1684,Received lots of compliments on this dress!,4,receive lot compliment dress,0.4767
1685,Far too matronly and heavy for my tastes,3,far matronly heavy taste,0.0
1686,Satisfied and beyond,5,satisfied,0.4215
1687,Oversized and unstructured but soft,1,oversized unstructured soft,0.0
1688,Not as flattering as in picture,3,flattering picture,0.3182
1689,Real thin,2,real thin,0.0
1690,Dresses up any outfit (especially for video calls),4,dress outfit especially video call,0.0
1691,They are VERY comfortable!,5,comfortable,0.5106
1692,Have dresses for shorter people!,2,dress short people,0.0
1693,Little tight,4,little tight,0.0
1694,Holes in fabric,1,hole fabric,0.0
1695,Not a winner,1,winner,0.5859
1696,Beautiful but short,4,beautiful short,0.5994
1697,The dress was a little tight and long on me.,2,dress little tight long,0.0
1698,Button fell of after 3 wears,3,button fall 3 wear,0.0
1699,Frustrated!,3,frustrate,-0.4588
1700,Comfortable Cargo Shorts,5,comfortable cargo short,0.5106
1701,To thin,1,thin,0.0
1702,Love the jacket but noticed several holes within one week,1,love jacket notice hole week,0.6369
1703,Not good for people who sweat,1,good people sweat,0.4404
1704,The skirt has a pretty stained glass look,5,skirt pretty stained glass look,0.4939
1705,Great Rain Jacket,5,great rain jacket,0.6249
1706,Fits perfect. It's really cute. I'm going to buy another in a different color.,5,fit perfect cute m go buy different color,0.8481
1707,HANES PJ's ARE PERFECT,5,hanes pjs perfect,0.5719
1708,Way too ugly compared to the picture you had on it.,1,way ugly compare picture,-0.5106
1709,Not a jacket.,2,jacket,0.0
1710,Just ok.,3,ok,0.296
1711,It didn’t smell pleasant,1,not smell pleasant,-0.4023
1712,More for a tall guy,3,tall guy,0.0
1713,Size issue,4,size issue,0.0
1714,Amazing sweater,5,amazing sweater,0.5859
1715,Colors are beautiful,5,color beautiful,0.5994
1716,Could have been one of the great ones,2,great one,0.6249
1717,I now havw 4 of these jackets and they are the best!!!,5,havw 4 jacket good,0.4404
1718,Super cute but not a love for me,4,super cute love,0.9022
1719,Perfect fit and pretty 😍,5,perfect fit pretty,0.8555
1720,wrong size,2,wrong size,-0.4767
1721,OK for the price but didn't last through the 6 week Fall season without holes,3,ok price not 6 week fall season hole,0.296
1722,The fabric content is not as advertised.,2,fabric content advertise,0.0
1723,Adorable swing sweater,4,adorable swing sweater,0.4939
1724,Oddly sized,1,oddly size,0.0
1725,Med is small and large is extra large,3,me small large extra large,0.0
1726,Nice basic with details,5,nice basic detail,0.4215
1727,Love the look!,5,love look,0.6369
1728,"Though not labeled as such, this is petite sizing.",2,label petite sizing,0.0
1729,Give your height and weight,5,height weight,0.0
1730,Incredibly THIN Material,1,incredibly thin material,0.0
1731,The pants were way too big!,2,pant way big,0.0
1732,Cute but gigantic,3,cute gigantic,0.4588
1733,Shorts fit weird,3,short fit weird,0.2023
1734,Favorite pant---until they ripped,2,favorite pantuntil rip,0.4588
1735,Spring blouse,5,spring blouse,0.0
1736,Slouchy soft tee with one problem....,2,slouchy soft tee problem,-0.4019
1737,SUCKS,1,suck,-0.4404
1738,Has potentail,3,potentail,0.0
1739,Cozy in the front,4,cozy,0.0
1740,Took along ti.e to receive the item a B d it did not fit also not a true red color as shown.,1,take tie receive item b d fit true red color show,0.6486
1741,Great concept but terrible execution,1,great concept terrible execution,0.25
1742,Don't do it,1,not,0.0
1743,Size is not the same,3,size,0.0
1744,Great pants that don't get baggy,5,great pant not baggy,0.6249
1745,Very essential sweater,5,essential sweater,0.0
1746,Very whimsical,4,whimsical,0.0772
1747,"Great fit, great look.",5,great fit great look,0.8934
1748,Not waterproof,3,waterproof,0.0
1749,Excellent fit and look but stain on pocket,3,excellent fit look stain pocket,0.7351
